"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
prov_ama,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","010100, CHACHAPOYAS | 010200, BAGUA | 010300, BONGARA | 010400, CONDORCANQUI | 010500, LUYA | 010600, RODRIGUEZ DE MENDOZA | 010700, UTCUBAMBA",,,,,,"[dep] = '010000'",y,,,,,
dist_ama_ch,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010101, CHACHAPOYAS | 010102, ASUNCION | 010103, BALSAS | 010104, CHETO | 010105, CHILIQUIN | 010106, CHUQUIBAMBA | 010107, GRANADA | 010108, HUANCAS | 010109, LA JALCA | 010110, LEIMEBAMBA | 010111, LEVANTO | 010112, MAGDALENA | 010113, MARISCAL CASTILLA | 010114, MOLINOPAMPA | 010115, MONTEVIDEO | 010116, OLLEROS | 010117, QUINJALCA | 010118, SAN FRANCISCO DE DAGUAS | 010119, SAN ISIDRO DE MAINO | 010120, SOLOCO | 010121, SONCHE",,,,,,"[prov_ama] = '010100'",y,,,,,
dist_ama_bag,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010201, BAGUA | 010202, ARAMANGO | 010203, COPALLIN | 010204, EL PARCO | 010205, IMAZA | 010206, LA PECA",,,,,,"[prov_ama] = '010200'",y,,,,,
dist_ama_bong,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010301, JUMBILLA | 010302, CHISQUILLA | 010303, CHURUJA | 010304, COROSHA | 010305, CUISPES | 010306, FLORIDA | 010307, JAZAN | 010308, RECTA | 010309, SAN CARLOS | 010310, SHIPASBAMBA | 010311, VALERA | 010312, YAMBRASBAMBA",,,,,,"[prov_ama] = '010300'",y,,,,,
dist_ama_cond,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010401, NIEVA | 010402, EL CENEPA | 010403, RIO SANTIAGO",,,,,,"[prov_ama] = '010400'",y,,,,,
dist_ama_luya,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010501, LAMUD | 010502, CAMPORREDONDO | 010503, COCABAMBA | 010504, COLCAMAR | 010505, CONILA | 010506, INGUILPATA | 010507, LONGUITA | 010508, LONYA CHICO | 010509, LUYA | 010510, LUYA VIEJO | 010511, MARIA | 010512, OCALLI | 010513, OCUMAL | 010514, PISUQUIA | 010515, PROVIDENCIA | 010516, SAN CRISTOBAL | 010517, SAN FRANCISCO DEL YESO | 010518, SAN JERONIMO | 010519, SAN JUAN DE LOPECANCHA | 010520, SANTA CATALINA | 010521, SANTO TOMAS | 010522, TINGO | 010523, TRITA",,,,,,"[prov_ama] = '010500'",y,,,,,
dist_ama_rodgm,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010601, SAN NICOLAS | 010602, CHIRIMOTO | 010603, COCHAMAL | 010604, HUAMBO | 010605, LIMABAMBA | 010606, LONGAR | 010607, MARISCAL BENAVIDES | 010608, MILPUC | 010609, OMIA | 010610, SANTA ROSA | 010611, TOTORA | 010612, VISTA ALEGRE",,,,,,"[prov_ama] = '010600'",y,,,,,
dist_ama_utcu,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010701, BAGUA GRANDE | 010702, CAJARURO | 010703, CUMBA | 010704, EL MILAGRO | 010705, JAMALCA | 010706, LONYA GRANDE | 010707, YAMON",,,,,,"[prov_ama] = '010700'",y,,,,,
prov_ash,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","020100, HUARAZ | 020200, AIJA | 020300, ANTONIO RAYMONDI | 020400, ASUNCION | 020500, BOLOGNESI | 020600, CARHUAZ | 020700, CARLOS F. FITZCARRALD | 020800, CASMA | 020900, CORONGO | 021000, HUARI | 021100, HUARMEY | 021200, HUAYLAS | 021300, MARISCAL LUZURIAGA | 021400, OCROS | 021500, PALLASCA | 021600, POMABAMBA | 021700, RECUAY | 021800, SANTA | 021900, SIHUAS | 022000, YUNGAY",,,,,,"[dep] = '020000'",y,,,,,
dist_ash_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020101, HUARAZ | 020102, COCHABAMBA | 020103, COLCABAMBA | 020104, HUANCHAY | 020105, INDEPENDENCIA | 020106, JANGAS | 020107, LA LIBERTAD | 020108, OLLEROS | 020109, PAMPAS | 020110, PARIACOTO | 020111, PIRA | 020112, TARICA",,,,,,"[prov_ash] = '020100'",y,,,,,
dist_ash_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020201, AIJA | 020202, CORIS | 020203, HUACLLAN | 020204, LA MERCED | 020205, SUCCHA",,,,,,"[prov_ash] = '020200'",y,,,,,
dist_ash_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020301, LLAMELLIN | 020302, ACZO | 020303, CHACCHO | 020304, CHINGAS | 020305, MIRGAS | 020306, SAN JUAN DE RONTOY",,,,,,"[prov_ash] = '020300'",y,,,,,
dist_ash_4,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020401, CHACAS | 020402, ACOCHACA",,,,,,"[prov_ash] = '020400'",y,,,,,
dist_ash_5,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020501, CHIQUIAN | 020502, ABELARDO PARDO LEZAMETA | 020503, ANTONIO RAYMONDI | 020504, AQUIA | 020505, CAJACAY | 020506, CANIS | 020507, COLQUIOC | 020508, HUALLANCA | 020509, HUASTA | 020510, HUAYLLACAYAN | 020511, LA PRIMAVERA | 020512, MANGAS | 020513, PACLLON | 020514, SAN MIGUEL DE CORPANQUI | 020515, TICLLOS",,,,,,"[prov_ash] = '020500'",y,,,,,
dist_ash_6,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020601, CARHUAZ | 020602, ACOPAMPA | 020603, AMASHCA | 020604, ANTA | 020605, ATAQUERO | 020606, MARCARA | 020607, PARIAHUANCA | 020608, SAN MIGUEL DE ACO | 020609, SHILLA | 020610, TINCO | 020611, YUNGAR",,,,,,"[prov_ash] = '020600'",y,,,,,
dist_ash_7,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020701, SAN LUIS | 020702, SAN NICOLAS | 020703, YAUYA",,,,,,"[prov_ash] = '020700'",y,,,,,
dist_ash_8,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020801, CASMA | 020802, BUENA VISTA ALTA | 020803, COMANDANTE NOEL | 020804, YAUTAN",,,,,,"[prov_ash] = '020800'",y,,,,,
dist_ash_9,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020901, CORONGO | 020902, ACO | 020903, BAMBAS | 020904, CUSCA | 020905, LA PAMPA | 020906, YANAC | 020907, YUPAN",,,,,,"[prov_ash] = '020900'",y,,,,,
dist_ash_10,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021001, HUARI | 021002, ANRA | 021003, CAJAY | 021004, CHAVIN DE HUANTAR | 021005, HUACACHI | 021006, HUACCHIS | 021007, HUACHIS | 021008, HUANTAR | 021009, MASIN | 021010, PAUCAS | 021011, PONTO | 021012, RAHUAPAMPA | 021013, RAPAYAN | 021014, SAN MARCOS | 021015, SAN PEDRO DE CHANA | 021016, UCO",,,,,,"[prov_ash] = '021000'",y,,,,,
dist_ash_11,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021101, HUARMEY | 021102, COCHAPETI | 021103, CULEBRAS | 021104, HUAYAN | 021105, MALVAS",,,,,,"[prov_ash] = '021100'",y,,,,,
dist_ash_12,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021201, CARAZ | 021202, HUALLANCA | 021203, HUATA | 021204, HUAYLAS | 021205, MATO | 021206, PAMPAROMAS | 021207, PUEBLO LIBRE | 021208, SANTA CRUZ | 021209, SANTO TORIBIO | 021210, YURACMARCA",,,,,,"[prov_ash] = '021200'",y,,,,,
dist_ash_13,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021301, PISCOBAMBA | 021302, CASCA | 021303, ELEAZAR GUZMAN BARRON | 021304, FIDEL OLIVAS ESCUDERO | 021305, LLAMA | 021306, LLUMPA | 021307, LUCMA | 021308, MUSGA",,,,,,"[prov_ash] = '021300'",y,,,,,
dist_ash_14,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021401, OCROS | 021402, ACAS | 021403, CAJAMARQUILLA | 021404, CARHUAPAMPA | 021405, COCHAS | 021406, CONGAS | 021407, LLIPA | 021408, SAN CRISTOBAL DE RAJAN | 021409, SAN PEDRO | 021410, SANTIAGO DE CHILCAS",,,,,,"[prov_ash] = '021400'",y,,,,,
dist_ash_15,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021501, CABANA | 021502, BOLOGNESI | 021503, CONCHUCOS | 021504, HUACASCHUQUE | 021505, HUANDOVAL | 021506, LACABAMBA | 021507, LLAPO | 021508, PALLASCA | 021509, PAMPAS | 021510, SANTA ROSA | 021511, TAUCA",,,,,,"[prov_ash] = '021500'",y,,,,,
dist_ash_16,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div> ","021601, POMABAMBA | 021602, HUAYLLAN | 021603, PAROBAMBA | 021604, QUINUABAMBA",,,,,,"[prov_ash] = '021600'",y,,,,,
dist_ash_17,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021701, RECUAY | 021702, CATAC | 021703, COTAPARACO | 021704, HUAYLLAPAMPA | 021705, LLACLLIN | 021706, MARCA | 021707, PAMPAS CHICO | 021708, PARARIN | 021709, TAPACOCHA | 021710, TICAPAMPA",,,,,,"[prov_ash] = '021700'",y,,,,,
dist_ash_18,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021801, CHIMBOTE | 021802, CACERES DEL PERU | 021803, COISHCO | 021804, MACATE | 021805, MORO | 021806, NEPEÑA | 021807, SAMANCO | 021808, SANTA | 021809, NUEVO CHIMBOTE",,,,,,"[prov_ash] = '021800'",y,,,,,
dist_ash_19,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021901, SIHUAS | 021902, ACOBAMBA | 021903, ALFONSO UGARTE | 021904, CASHAPAMPA | 021905, CHINGALPO | 021906, HUAYLLABAMBA | 021907, QUICHES | 021908, RAGASH | 021909, SAN JUAN | 021910, SICSIBAMBA",,,,,,"[prov_ash] = '021900'",y,,,,,
dist_ash_20,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","022001, YUNGAY | 022002, CASCAPARA | 022003, MANCOS | 022004, MATACOTO | 022005, QUILLO | 022006, RANRAHIRCA | 022007, SHUPLUY | 022008, YANAMA",,,,,,"[prov_ash] = '022000'",y,,,,,
prov_apu,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","030100, ABANCAY | 030200, ANDAHUAYLAS | 030300, ANTABAMBA | 030400, AYMARAES | 030500, COTABAMBAS | 030600, CHINCHEROS | 030700, GRAU",,,,,,"[dep] = '030000'",y,,,,,
dist_apu_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030101, ABANCAY | 030102, CHACOCHE | 030103, CIRCA | 030104, CURAHUASI | 030105, HUANIPACA | 030106, LAMBRAMA | 030107, PICHIRHUA | 030108, SAN PEDRO DE CACHORA | 030109, TAMBURCO",,,,,,"[prov_apu] = '030100'",y,,,,,
dist_apu_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030201, ANDAHUAYLAS | 030202, ANDARAPA | 030203, CHIARA | 030204, HUANCARAMA | 030205, HUANCARAY | 030206, HUAYANA | 030207, KISHUARA | 030208, PACOBAMBA | 030209, PACUCHA | 030210, PAMPACHIRI | 030211, POMACOCHA | 030212, SAN ANTONIO DE CACHI | 030213, SAN JERONIMO | 030214, SAN MIGUEL DE CHACCRAMPA | 030215, SANTA MARIA DE CHICMO | 030216, TALAVERA | 030217, TUMAY HUARACA | 030218, TURPO | 030219, KAQUIABAMBA | 030220, JOSÉ MARÍA ARGUEDAS",,,,,,"[prov_apu] = '030200'",y,,,,,
dist_apu_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030301, ANTABAMBA | 030302, EL ORO | 030303, HUAQUIRCA | 030304, JUAN ESPINOZA MEDRANO | 030305, OROPESA | 030306, PACHACONAS | 030307, SABAINO",,,,,,"[prov_apu] = '030300'",y,,,,,
dist_apu_4,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030401, CHALHUANCA | 030402, CAPAYA | 030403, CARAYBAMBA | 030404, CHAPIMARCA | 030405, COLCABAMBA | 030406, COTARUSE | 030407, HUAYLLO | 030408, JUSTO APU SAHUARAURA | 030409, LUCRE | 030410, POCOHUANCA | 030411, SAN JUAN DE CHACÑA | 030412, SAÑAYCA | 030413, SORAYA | 030414, TAPAIRIHUA | 030415, TINTAY | 030416, TORAYA | 030417, YANACA",,,,,,"[prov_apu] = '030400'",y,,,,,
dist_apu_5,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030501, TAMBOBAMBA | 030502, COTABAMBAS | 030503, COYLLURQUI | 030504, HAQUIRA | 030505, MARA | 030506, CHALLHUAHUACHO",,,,,,"[prov_apu] = '030500'",y,,,,,
dist_apu_6,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030601, CHINCHEROS | 030602, ANCO-HUALLO | 030603, COCHARCAS | 030604, HUACCANA | 030605, OCOBAMBA | 030606, ONGOY | 030607, URANMARCA | 030608, RANRACANCHA | 030609, ROCCHACC | 030610, EL PORVENIR | 030611, LOS CHANKAS",,,,,,"[prov_apu] = '030600'",y,,,,,
dist_apu_7,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030701, CHUQUIBAMBILLA | 030702, CURPAHUASI | 030703, GAMARRA | 030704, HUAYLLATI | 030705, MAMARA | 030706, MICAELA BASTIDAS | 030707, PATAYPAMPA | 030708, PROGRESO | 030709, SAN ANTONIO | 030710, SANTA ROSA | 030711, TURPAY | 030712, VILCABAMBA | 030713, VIRUNDO | 030714, CURASCO",,,,,,"[prov_apu] = '030700'",y,,,,,
prov_are,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","040100, AREQUIPA | 040200, CAMANA | 040300, CARAVELI | 040400, CASTILLA | 040500, CAYLLOMA | 040600, CONDESUYOS | 040700, ISLAY | 040800, LA UNION",,,,,,"[dep] = '040000'",y,,,,,
dist_are_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040101, AREQUIPA | 040102, ALTO SELVA ALEGRE | 040103, CAYMA | 040104, CERRO COLORADO | 040105, CHARACATO | 040106, CHIGUATA | 040107, JACOBO HUNTER | 040108, LA JOYA | 040109, MARIANO MELGAR | 040110, MIRAFLORES | 040111, MOLLEBAYA | 040112, PAUCARPATA | 040113, POCSI | 040114, POLOBAYA | 040115, QUEQUEÑA | 040116, SABANDIA | 040117, SACHACA | 040118, SAN JUAN DE SIGUAS | 040119, SAN JUAN DE TARUCANI | 040120, SANTA ISABEL DE SIGUAS | 040121, SANTA RITA DE SIGUAS | 040122, SOCABAYA | 040123, TIABAYA | 040124, UCHUMAYO | 040125, VITOR | 040126, YANAHUARA | 040127, YARABAMBA | 040128, YURA | 040129, JOSE LUIS BUSTAMANTE Y RIVERO",,,,,,"[prov_are] = '040100'",y,,,,,
dist_are_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040201, CAMANA | 040202, JOSE MARIA QUIMPER | 040203, MARIANO NICOLAS VALCARCEL | 040204, MARISCAL CACERES | 040205, NICOLAS DE PIEROLA | 040206, OCOÑA | 040207, QUILCA | 040208, SAMUEL PASTOR",,,,,,"[prov_are] = '040200'",y,,,,,
dist_are_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040301, CARAVELI | 040302, ACARI | 040303, ATICO | 040304, ATIQUIPA | 040305, BELLA UNION | 040306, CAHUACHO | 040307, CHALA | 040308, CHAPARRA | 040309, HUANUHUANU | 040310, JAQUI | 040311, LOMAS | 040312, QUICACHA | 040313, YAUCA",,,,,,"[prov_are] = '040300'",y,,,,,
dist_are_4,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040401, APLAO | 040402, ANDAGUA | 040403, AYO | 040404, CHACHAS | 040405, CHILCAYMARCA | 040406, CHOCO | 040407, HUANCARQUI | 040408, MACHAGUAY | 040409, ORCOPAMPA | 040410, PAMPACOLCA | 040411, TIPAN | 040412, UÑON | 040413, URACA | 040414, VIRACO",,,,,,"[prov_are] = '040400'",y,,,,,
dist_are_5,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040501, CHIVAY | 040502, ACHOMA | 040503, CABANACONDE | 040504, CALLALLI | 040505, CAYLLOMA | 040506, COPORAQUE | 040507, HUAMBO | 040508, HUANCA | 040509, ICHUPAMPA | 040510, LARI | 040511, LLUTA | 040512, MACA | 040513, MADRIGAL | 040514, SAN ANTONIO DE CHUCA | 040515, SIBAYO | 040516, TAPAY | 040517, TISCO | 040518, TUTI | 040519, YANQUE | 040520, MAJES",,,,,,"[prov_are] = '040500'",y,,,,,
dist_are_6,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040601, CHUQUIBAMBA | 040602, ANDARAY | 040603, CAYARANI | 040604, CHICHAS | 040605, IRAY | 040606, RIO GRANDE | 040607, SALAMANCA | 040608, YANAQUIHUA",,,,,,"[prov_are] = '040600'",y,,,,,
dist_are_7,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040701, MOLLENDO | 040702, COCACHACRA | 040703, DEAN VALDIVIA | 040704, ISLAY | 040705, MEJIA | 040706, PUNTA DE BOMBON",,,,,,"[prov_are] = '040700'",y,,,,,
dist_are_8,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040801, COTAHUASI | 040802, ALCA | 040803, CHARCANA | 040804, HUAYNACOTAS | 040805, PAMPAMARCA | 040806, PUYCA | 040807, QUECHUALLA | 040808, SAYLA | 040809, TAURIA | 040810, TOMEPAMPA | 040811, TORO",,,,,,"[prov_are] = '040800'",y,,,,,
prov_aya,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","050100, HUAMANGA | 050200, CANGALLO | 050300, HUANCA SANCOS | 050400, HUANTA | 050500, LA MAR | 050600, LUCANAS | 050700, PARINACOCHAS | 050800, PAUCAR DEL SARA SARA | 050900, SUCRE | 051000, VICTOR FAJARDO | 051100, VILCAS HUAMAN",,,,,,"[dep] = '050000'",y,,,,,
dist_aya_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","050101, AYACUCHO | 050102, ACOCRO | 050103, ACOS VINCHOS | 050104, CARMEN ALTO | 050105, CHIARA | 050106, OCROS | 050107, PACAYCASA | 050108, QUINUA | 050109, SAN JOSE DE TICLLAS | 050110, SAN JUAN BAUTISTA | 050111, SANTIAGO DE PISCHA | 050112, SOCOS | 050113, TAMBILLO | 050114, VINCHOS | 050115, JESUS NAZARENO | 050116, ANDRÉS AVELINO CÁCERES DORREGARAY",,,,,,"[prov_aya] = '050100'",y,,,,,
dist_aya_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div> ","050201, CANGALLO | 050202, CHUSCHI | 050203, LOS MOROCHUCOS | 050204, MARIA PARADO DE BELLIDO | 050205, PARAS | 050206, TOTOS",,,,,,"[prov_aya] = '050200'",y,,,,,
dist_aya_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","050301, SANCOS | 050302, CARAPO | 050303, SACSAMARCA | 050304, SANTIAGO DE LUCANAMARCA",,,,,,"[prov_aya] = '050300'",y,,,,,
dist_aya_4,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","050401, HUANTA | 050402, AYAHUANCO | 050403, HUAMANGUILLA | 050404, IGUAIN | 050405, LURICOCHA | 050406, SANTILLANA | 050407, SIVIA | 050408, LLOCHEGUA | 050409, CANAYRE | 050410, UCHURACCAY | 050411, PUCACOLPA | 050412, CHACA",,,,,,"[prov_aya] = '050400'",y,,,,,
dist_aya_5,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","050501, SAN MIGUEL | 050502, ANCO | 050503, AYNA | 050504, CHILCAS | 050505, CHUNGUI | 050506, LUIS CARRANZA | 050507, SANTA ROSA | 050508, TAMBO | 050509, SAMUGARI | 050510, ANCHIHUAY | 050511, ORONCOY",,,,,,"[prov_aya] = '050500'",y,,,,,
dist_aya_6,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","050601, PUQUIO | 050602, AUCARA | 050603, CABANA | 050604, CARMEN SALCEDO | 050605, CHAVIÑA | 050606, CHIPAO | 050607, HUAC-HUAS | 050608, LARAMATE | 050609, LEONCIO PRADO | 050610, LLAUTA | 050611, LUCANAS | 050612, OCAÑA | 050613, OTOCA | 050614, SAISA | 050615, SAN CRISTOBAL | 050616, SAN JUAN | 050617, SAN PEDRO | 050618, SAN PEDRO DE PALCO | 050619, SANCOS | 050620, SANTA ANA DE HUAYCAHUACHO | 050621, SANTA LUCIA",,,,,,"[prov_aya] = '050600'",y,,,,,
dist_aya_7,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","050701, CORACORA | 050702, CHUMPI | 050703, CORONEL CASTAÑEDA | 050704, PACAPAUSA | 050705, PULLO | 050706, PUYUSCA | 050707, SAN FRANCISCO DE RAVACAYCO | 050708, UPAHUACHO",,,,,,"[prov_aya] = '050700'",y,,,,,
dist_aya_8,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","050801, PAUSA | 050802, COLTA | 050803, CORCULLA | 050804, LAMPA | 050805, MARCABAMBA | 050806, OYOLO | 050807, PARARCA | 050808, SAN JAVIER DE ALPABAMBA | 050809, SAN JOSE DE USHUA | 050810, SARA SARA",,,,,,"[prov_aya] = '050800'",y,,,,,
dist_aya_9,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","050901, QUEROBAMBA | 050902, BELEN | 050903, CHALCOS | 050904, CHILCAYOC | 050905, HUACAÑA | 050906, MORCOLLA | 050907, PAICO | 050908, SAN PEDRO DE LARCAY | 050909, SAN SALVADOR DE QUIJE | 050910, SANTIAGO DE PAUCARAY | 050911, SORAS",,,,,,"[prov_aya] = '050900'",y,,,,,
dist_aya_10,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","051001, HUANCAPI | 051002, ALCAMENCA | 051003, APONGO | 051004, ASQUIPATA | 051005, CANARIA | 051006, CAYARA | 051007, COLCA | 051008, HUAMANQUIQUIA | 051009, HUANCARAYLLA | 051010, HUAYA | 051011, SARHUA | 051012, VILCANCHOS",,,,,,"[prov_aya] = '051000'",y,,,,,
dist_aya_11,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","051101, VILCAS HUAMAN | 051102, ACCOMARCA | 051103, CARHUANCA | 051104, CONCEPCION | 051105, HUAMBALPA | 051106, INDEPENDENCIA | 051107, SAURAMA | 051108, VISCHONGO",,,,,,"[prov_aya] = '051100'",y,,,,,
